Date,Monthly Revenue,Occupancy Rate,Total Units,Occupied Units,Expenses,Net Income
2024-01-15,45600,95.8,26,25,12000,33600
2024-02-15,46800,98.1,26,26,12500,34300
2024-03-15,45200,94.2,26,25,11800,33400
2024-04-15,47100,97.3,26,26,13000,34100
2024-05-15,45900,95.4,26,25,12200,33700
2024-06-15,46300,96.2,26,25,12400,33900
2024-07-15,47500,98.5,26,26,12800,34700
2024-08-15,46100,95.0,26,25,12100,34000
2024-09-15,46700,96.9,26,25,12300,34400
2024-10-15,45300,94.6,26,25,11900,33400
2024-11-15,46900,97.7,26,26,12600,34300
2024-12-15,47200,98.1,26,26,12900,34300
